year,value,units,accommodation_type,occupancy_type,weekday_weekend,size_of_accommodation,location,is_accessible,is_urban
2015,56.53,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
2017,51.66,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2013,41.97,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2014,31.97,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2018,59.26,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2011,53.34,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2014,51.89,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2013,54.55,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2011,46.54,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2015,55.39,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2011,42.37,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2016,48.57,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2015,41.81,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2018,54.6,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2012,45.67,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2013,49.94,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2014,53.54,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
2019,70.86,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2011,59.68,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2019,54.65,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2018,47.67,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2018,64.79,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
2015,45.32,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2013,44.18,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2013,47.21,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2015,68.03,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2019,47.72,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2012,43.56,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2012,42.07,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2014,45.88,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2015,45.84,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2013,34.84,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2017,52.29,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2014,50.87,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2012,47.91,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2014,65.48,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2012,59.18,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
2014,20.95,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2016,22.45,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2016,52.41,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2018,0.0,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2015,47.48,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2019,45.18,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2012,45.43,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2012,33.81,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2013,56.24,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2016,50.92,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2013,48.64,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2015,49.57,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2012,17.0,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2013,18.48,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2018,62.0,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2017,61.53,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2018,56.76,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2015,47.81,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2017,57.76,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2014,47.36,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2013,48.17,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2019,3.83,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2016,50.66,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2014,35.74,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2013,51.46,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2012,38.98,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2015,18.87,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2011,18.78,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2017,51.42,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2019,33.99,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2017,54.37,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2011,39.96,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2018,32.76,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2015,30.98,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
2017,57.3,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2011,49.56,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2017,0.0,Percentage,Hotels , Bed Occupancy,All,Rooms: 01-03,All,False,False
2013,51.83,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2012,49.74,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2014,52.7,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2011,49.23,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2019,51.61,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2019,33.58,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2018,46.37,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2013,45.03,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2013,42.94,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2019,52.94,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2014,56.08,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2011,43.32,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2016,51.84,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2014,49.89,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2014,49.82,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2017,47.12,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2016,49.16,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2013,51.1,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2012,48.66,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2017,52.89,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2017,63.95,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2013,55.43,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2014,52.4,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2011,46.42,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2014,50.13,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2017,37.37,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2012,52.77,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2018,47.95,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2019,60.24,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2018,60.5,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2014,55.57,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2019,57.15,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2015,51.26,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2011,54.58,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2016,58.28,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2018,35.28,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2019,56.75,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2012,44.4,Percentage,Hotels , Bed Occupancy,All,All,Remote Small Towns,False,False
2012,45.78,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2019,56.81,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2019,45.83,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2011,53.19,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2012,53.41,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2013,48.9,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2018,54.06,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2016,55.78,Percentage,Hotels , Bed Occupancy,All,All,Other Urban Areas,True,True
2014,44.22,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2017,61.32,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2015,53.38,Percentage,Hotels , Bed Occupancy,All,Rooms: 51-100,All,False,False
2015,55.77,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2011,47.39,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2018,60.71,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2019,41.22,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2012,39.7,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2018,38.4,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2018,33.59,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2012,0.0,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2012,40.02,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2011,42.1,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2019,57.6,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2015,48.98,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2013,42.84,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2019,34.3,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2014,49.13,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2015,49.36,Percentage,Hotels , Bed Occupancy,All,All,Accessible Rural,True,False
2014,55.85,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2018,59.02,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2014,53.15,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2011,45.01,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2017,63.5,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2016,56.78,Percentage,Hotels , Bed Occupancy,All,All,Large Urban Areas,True,True
2016,54.02,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2015,41.89,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2017,65.79,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2013,46.84,Percentage,Hotels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2011,44.16,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2011,36.11,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2019,34.21,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2013,55.97,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2014,50.96,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2019,36.07,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2011,49.27,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2014,53.11,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2017,44.71,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2012,43.18,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2013,45.01,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2013,43.96,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2014,42.6,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2019,42.08,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2015,52.09,Percentage,Hotels , Bed Occupancy,All,All,All,False,False
2012,49.08,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2017,36.21,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2011,63.98,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2014,43.72,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2018,40.34,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2011,43.0,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2014,44.74,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2017,24.2,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
